recruitNumber,name,detailLink,publishTime,catalog,workLocation
1,13654-新媒体策划运营（深圳）,http://hr.tencent.com/position_detail.php?id=19120&keywords=&tid=0&lid=0,2015-02-13,职能类,深圳
2,TEG13-后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21913&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,TEG06-IT应用开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18314&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,14914-品牌合作（商务策划方向）高级经理（深圳）,http://hr.tencent.com/position_detail.php?id=17487&keywords=&tid=0&lid=0,2015-01-06,市场类,深圳
1,15569-移动游戏核心数值策划（深圳）,http://hr.tencent.com/position_detail.php?id=18553&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,15569-QQ飞车高级游戏2D场景设计师（深圳）,http://hr.tencent.com/position_detail.php?id=18581&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,15573-移动终端游戏开发工程师(深圳),http://hr.tencent.com/position_detail.php?id=18775&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
1,15575-手机游戏交互设计师（成都）,http://hr.tencent.com/position_detail.php?id=19172&keywords=&tid=0&lid=0,2015-02-12,设计类,成都
1,OMG097-腾讯网系统测试工程师（天津）,http://hr.tencent.com/position_detail.php?id=14675&keywords=&tid=0&lid=0,2014-11-24,技术类,天津
1,MIG16-汽车后服务产品副总监,http://hr.tencent.com/position_detail.php?id=14941&keywords=&tid=0&lid=0,2014-11-17,产品/项目类,北京
1,15665-智能玩具互动游戏高级游戏动画师（深圳）,http://hr.tencent.com/position_detail.php?id=17261&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
9,15665-智能玩具互动游戏手机客户端开发工程师(深圳),http://hr.tencent.com/position_detail.php?id=8530&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
2,15585-游戏美术2d场景设计师（深圳）,http://hr.tencent.com/position_detail.php?id=18322&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,SD3-互娱游戏美术3D设计师(深圳),http://hr.tencent.com/position_detail.php?id=18592&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,BJ-商务接待专员（北京）,http://hr.tencent.com/position_detail.php?id=19162&keywords=&tid=0&lid=0,2015-02-13,职能类,北京
1,HY4-互娱算法工程师（深圳）,http://hr.tencent.com/position_detail.php?id=15619&keywords=&tid=0&lid=0,2015-02-13,技术类,深圳
2,TEG09-存储运维工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21442&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
3,TEG15-计费后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21712&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
3,SNG12-游戏商务拓展经理（北京）,http://hr.tencent.com/position_detail.php?id=21218&keywords=&tid=0&lid=0,2015-08-25,市场类,北京
1,MIG12-数据产品高级运营经理（深圳）,http://hr.tencent.com/position_detail.php?id=21829&keywords=&tid=0&lid=0,2015-08-24,产品/项目类,深圳
1,HY2-云平台Python高级开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21794&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,WXG02-微信web前端开发工程师(广州),http://hr.tencent.com/position_detail.php?id=17554&keywords=&tid=0&lid=0,2015-01-05,技术类,广州
1,MIG16-后台开发工程师（北京）,http://hr.tencent.com/position_detail.php?id=15777&keywords=&tid=0&lid=0,2014-12-11,技术类,北京
2,TEG14-云平台系统测试工程师（深圳）,http://hr.tencent.com/position_detail.php?id=17907&keywords=&tid=0&lid=0,2014-12-06,技术类,深圳
